OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31497,05308,Lemon Springs Volunteer Fire Department,2,Pine Forrest and US 1,Lemon Springs,NC,Lee,28355,35.3556,-79.2307,-79.2307,35.3556
31498,01407,Lenoir Fire Department,1,602 Harper Ave. NW,Lenoir,NC,Caldwell,28645,35.91490435,-81.53745324,-81.5374532399999,35.91490435
31499,01407,Lenoir Fire Department,2,1927 Norwood Street,Lenoir,NC,Caldwell,28645,35.87890864,-81.51711802,-81.5171180199999,35.8789086400001
31500,01407,Lenoir Fire Department,3,1015 Wilkesboro Blvd. NE,Lenoir,NC,Caldwell,28645,35.92547,-81.50386,-81.50386,35.9254700000001
31501,07608,"Level Cross Voluntary Fire Department, Inc.",1,125 Branson Mill Rd,Randleman,NC,Randolph,27317,35.889152,-79.807031,-79.8070309999999,35.889152
31502,03312,"Lewis Community Volunteer Fire Department, Inc.",1,6585 Mckendree Church Road,Tarboro,NC,Edgecombe,27886,35.85895653,-77.63276974,-77.63276974,35.8589565300001
31503,00805,"Lewiston Woodville Volunteer Fire Department, Inc.",1,103 W. Church Street,Lewiston Woodville,NC,Bertie,27849,36.12301835,-77.17715708,-77.17715708,36.1230183500001
31504,02908,Lexington Fire Department,1,200 E. Center Street,Lexington,NC,Davidson,27292,35.82249578,-80.25052834,-80.25052834,35.8224957800001
31505,02908,Lexington Fire Department,2,285 Hargrave Rd,Lexington,NC,Davidson,27295,35.77682595,-80.31396482,-80.31396482,35.77682595
31506,02908,Lexington Fire Department,3,70 Biesecker Road,Lexington,NC,Davidson,27292,35.84549561,-80.25964332,-80.25964332,35.8454956100001
31507,02908,Lexington Fire Department,4,201 Cotton Grove Road,Lexington,NC,Davidson,27292,35.811465,-80.262238,-80.262238,35.8114650000001
31508,07609,Liberty Fire Department,1,515 W. Swannanoa Ave.,Liberty,NC,Randolph,27298,35.85159998,-79.5805,-79.5805,35.8515999800001
